relationshipId,startNodeId,endNodeId,type,amount,unit,stepOrder
e16758ceaa90f2bc,4ad03a810d7ef263,8e5301c11e21470d,REQUIRES,30,克,
1c89b73456ca6187,4ad03a810d7ef263,317688e67f3f7239,REQUIRES,30,克,
6bc87bb786c56195,4ad03a810d7ef263,099a659fddf8199d,REQUIRES,500,毫升,
9928be42883b9081,4ad03a810d7ef263,8eacb18b6bdddbdf,REQUIRES,30,毫升,
2bf0ba191efa7c57,4ad03a810d7ef263,012f941f126fbf2c,REQUIRES,10,克,
0d7fc72b2d30aa37,4ad03a810d7ef263,2f318307e2114361,CONTAINS_STEP,,,1.0
ddde4d8622b5c935,4ad03a810d7ef263,01873a4542602205,CONTAINS_STEP,,,2.0
7749408c8ae79bb5,4ad03a810d7ef263,a077e4f4f029d17d,CONTAINS_STEP,,,3.0
53b48e0ec097a1f6,4ad03a810d7ef263,0ab55ecdb067a897,CONTAINS_STEP,,,4.0
343341c9fa3fb7e9,4ad03a810d7ef263,d73259f339ad961a,CONTAINS_STEP,,,5.0
cf60988d7920f7e3,4ad03a810d7ef263,563e113c6a350c73,CONTAINS_STEP,,,6.0
f391cbf82fda68c1,4ad03a810d7ef263,4985cb8bd1c96492,CONTAINS_STEP,,,7.0
e4b486462ea9f867,4ad03a810d7ef263,fbaa4e39ca8903bf,BELONGS_TO_CATEGORY,,,
bcae1d5feca39bab,4ad03a810d7ef263,8ffff47d4d8a1bba,HAS_DIFFICULTY_LEVEL,,,
ffcd0f951e606fef,10fc84e21e0a20e9,1533c7aacced175e,REQUIRES,2,片,
4e69bf2840872962,10fc84e21e0a20e9,9d24a20c32e1507f,REQUIRES,25,克,
bc1646a1407808c1,10fc84e21e0a20e9,be1a7c309fe2740b,REQUIRES,13,克,
9578114fd9758a4a,10fc84e21e0a20e9,f00e325df91687b0,REQUIRES,5,毫升,
89fffacd5ae2bc5f,10fc84e21e0a20e9,121157f3cd06abbf,REQUIRES,25,毫升,
bf8a91bfba92b9d4,10fc84e21e0a20e9,573f9d0e5f250c01,REQUIRES,2,毫升,
fe983b72a6dbdd6c,10fc84e21e0a20e9,6156b3d900bb2bf6,REQUIRES,50,毫升,
062740f0c038fb2d,10fc84e21e0a20e9,f8a7f118307f7f23,CONTAINS_STEP,,,1.0
233cfd65f1a00b25,10fc84e21e0a20e9,37191c5edc71129c,CONTAINS_STEP,,,2.0
b125452f20b5414c,10fc84e21e0a20e9,6f94052d1ae544d8,CONTAINS_STEP,,,3.0
26e8cd1c1a408083,10fc84e21e0a20e9,6dda2a29b685f02d,CONTAINS_STEP,,,4.0
433242bf8e941296,10fc84e21e0a20e9,d7a1c16629cc7e17,CONTAINS_STEP,,,5.0
f021857c089dff45,10fc84e21e0a20e9,835c420843bf75a9,CONTAINS_STEP,,,6.0
deae897a795d3ffd,10fc84e21e0a20e9,e6f26f6000e1e84b,CONTAINS_STEP,,,7.0
7f17155f8789d79a,10fc84e21e0a20e9,e88855e7fe1f433c,CONTAINS_STEP,,,8.0
8f63583378936f87,10fc84e21e0a20e9,a386e4056b8a3ffe,CONTAINS_STEP,,,9.0
2c92ecdea636cf89,10fc84e21e0a20e9,fbaa4e39ca8903bf,BELONGS_TO_CATEGORY,,,
5c45dd140e656786,10fc84e21e0a20e9,b47f0d2431a888a2,HAS_DIFFICULTY_LEVEL,,,
1b90917896b63b69,c9bfcbfa7fe2af5a,0a41059e494c021d,REQUIRES,10,只,
412fc87b003a0979,c9bfcbfa7fe2af5a,0e9595ab8f5e7160,REQUIRES,5,克,
1e519b64b1d1c5d9,c9bfcbfa7fe2af5a,1e2a144c462b1349,REQUIRES,50,克,
d5c8c8b779908d83,c9bfcbfa7fe2af5a,be1a7c309fe2740b,REQUIRES,20,克,
e21c38bff43d197a,c9bfcbfa7fe2af5a,36f58a72875817bf,REQUIRES,30,克,
72b087bfc992fce4,c9bfcbfa7fe2af5a,012f941f126fbf2c,REQUIRES,3,克,
e6254b99d60d1431,c9bfcbfa7fe2af5a,f51cc7dee2ae247a,REQUIRES,10,克,
e79b991449c85ff3,c9bfcbfa7fe2af5a,8f608eefc85f1a23,REQUIRES,,,
9309a16667e5b118,c9bfcbfa7fe2af5a,69248c4d688f8689,CONTAINS_STEP,,,1.0
3b6c4a0034e0f497,c9bfcbfa7fe2af5a,6c8faa255bde3138,CONTAINS_STEP,,,2.0
